n = 1000
time elapsed = 0.02
i              x              V
899       0.899101       0.100815
900         0.9001      0.0998168
901       0.901099      0.0988191
902       0.902098      0.0978214
903       0.903097      0.0968236
904       0.904096      0.0958259
905       0.905095      0.0948281
906       0.906094      0.0938303
907       0.907093      0.0928325
908       0.908092      0.0918347
909       0.909091      0.0908369
910        0.91009      0.0898391
911       0.911089      0.0888413
912       0.912088      0.0878434
913       0.913087      0.0868455
914       0.914086      0.0858477
915       0.915085      0.0848498
916       0.916084      0.0838519
917       0.917083       0.082854
918       0.918082      0.0818561
919       0.919081      0.0808582
920        0.92008      0.0798602
921       0.921079      0.0788623
922       0.922078      0.0778643
923       0.923077      0.0768664
924       0.924076      0.0758684
925       0.925075      0.0748704
926       0.926074      0.0738724
927       0.927073      0.0728744
928       0.928072      0.0718764
929       0.929071      0.0708784
930        0.93007      0.0698804
931       0.931069      0.0688823
932       0.932068      0.0678843
933       0.933067      0.0668862
934       0.934066      0.0658881
935       0.935065      0.0648901
936       0.936064       0.063892
937       0.937063      0.0628939
938       0.938062      0.0618958
939       0.939061      0.0608977
940        0.94006      0.0598996
941       0.941059      0.0589014
942       0.942058      0.0579033
943       0.943057      0.0569052
944       0.944056       0.055907
945       0.945055      0.0549089
946       0.946054      0.0539107
947       0.947053      0.0529125
948       0.948052      0.0519143
949       0.949051      0.0509161
950        0.95005       0.049918
951       0.951049      0.0489197
952       0.952048      0.0479215
953       0.953047      0.0469233
954       0.954046      0.0459251
955       0.955045      0.0449269
956       0.956044      0.0439286
957       0.957043      0.0429304
958       0.958042      0.0419321
959       0.959041      0.0409339
960        0.96004      0.0399356
961       0.961039      0.0389373
962       0.962038       0.037939
963       0.963037      0.0369407
964       0.964036      0.0359425
965       0.965035      0.0349442
966       0.966034      0.0339458
967       0.967033      0.0329475
968       0.968032      0.0319492
969       0.969031      0.0309509
970        0.97003      0.0299526
971       0.971029      0.0289542
972       0.972028      0.0279559
973       0.973027      0.0269575
974       0.974026      0.0259592
975       0.975025      0.0249608
976       0.976024      0.0239624
977       0.977023      0.0229641
978       0.978022      0.0219657
979       0.979021      0.0209673
980        0.98002      0.0199689
981       0.981019      0.0189705
982       0.982018      0.0179721
983       0.983017      0.0169737
984       0.984016      0.0159753
985       0.985015      0.0149769
986       0.986014      0.0139784
